Community plan,Summary,Council person,Staff recommendation,School district representative,Proposed zoning type id,Community character policy id,Existing zoning type id,Map id,Pdf link,Request type,School district,ID,Date,Requested by,Community character policy,Parcel id,Document number,Applicant,Council district,Staff recommendation description,Project name,Number of acres,Number of units proposed,Number of units currently,Location description,Addresses
,"Rezone to SP to permit a mixed use development with 1,200 multi-family units and non-residential uses over 23.32 acres.",Sledge,Defer,Buggs,"[""SP-MU""]","[""SP-MU""]","[""CS"",""RM20""]","[""105-05"",""105-06""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180426sr.pdf_item_1.pdf,preliminary sp,5,The Reservoir SP_2018-04-26,2018-04-26,"Kimley-Horn, applicant; various owners.",Mixed Use,"[""511"",""512"",""024"",""332""]",694,"Kimley-Horn, 1201 8th Ave., LLC, 1203 8th Ave., LLC, 929 Edgehill, LLC, and Park at Hillside, LLC.",17,"Staff recommends deferral to the May 10, 2018, Planning Commission meeting at the request of the applicant.",The Reservoir SP,23.32,1200,,"southwest corner of Edgehill Avenue and 8th Avenue South, partially within a Planned Unit Development, 23.32 acres","[""1201 8th Avenue South"",""1203 8th Avenue South"",""1205 8th Avenue South"",""1211 8th Avenue South"",""1430 Hillside Avenue"",""1501 Hillside Avenue"",""809 Edgehill Avenue"",""929 Edgehill Avenue""]"
Bellevue Community Plan,"The proposed zone change from AR2a to RS10 for properties located at 7946 and 7968 McCrory Lane, covering 22.93 acres, is consistent with the community goals and policies.",Spain,Approve,Tylor,"[""RS10""]","[""T3 NM"",""CO""]","[""AR2a""]","[""051-06""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/020824StaffReport.pdf_item_10.pdf,zone change,9,7946 and 7968 McCrory Lane Zone Change_2024-02-08,2024-02-08,"Aera Systems LLC, applicant; William Travis and William R. Travis, ET UX , owners.","T3 Suburban Neighborhood Maintenance, CO","[""030""]",27,"Aera Systems LLC, applicant; William Travis and William R. Travis, ET UX , owners.",35,Staff recommends approval.,7946 and 7968 McCrory Lane Zone Change,22.93,84,38,Approximately 98 feet north of Beautiful Valley Drive (22.93 acres),"[""7946 McCrory Lane"",""7968 McCrory Lane""]"
,The project involves rezoning to allow a specific plan for a multi-family residential development.,Rutherford,Defer,Elrod,"[""SP""]",,"[""AR2a""]","[""150"",""164""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/061324StaffReport.pdf_item_6.pdf,specific plan,2,Berkhamstead_2024-06-13,2024-06-13,"CSDG, applicant; Blackbum Family Limited Partners II LP, owner",,"[""125"",""042""]",276,CSDG,31,"Staff recommends deferral to the June 27, 2024, Planning Commission meeting.",Berkhamstead,11.63,119,,"550 feet east of Old Burkitt Rd, 11.63 acres","[""7088 Burkitt Rd""]"
Madison Community Plan,The application seeks to amend the Madison Community Plan by removing supplemental policies for specified properties.,Pridemore,Defer,Speering,"[""RS10""]",,"[""04-LS-T3-RC-01"",""04-LS-T3-NE-01""]","[""081""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190627sr.pdf_item_17.pdf,major plan amendment,3,Madison Community Plan Amendment_2019-06-27,2019-06-27,March Development LLC.,,"[""033"",""034"",""035"",""036""]",1449,"March Development LLC., applicant and owner",9,Staff recommends indefinite deferral at the request of the applicant.,Madison Community Plan Amendment,1.98,,,"424 Larkin Springs Road and Larkin Springs Road (unnumbered), approximately 375 feet north of Hospital Drive, zoned Single-Family Residential (RS10) (1.98 acres).","[""424 Larkin Springs Road"",""Larkin Springs Road""]"
South Nashville Community Plan,"The amendment involves rezoning from OS and DI to T4 CC, covering 10 acres for mixed-use development.",Sledge,Approve,Buggs,"[""T4 CC""]","[""T4 CC""]","[""OS"",""DI"",""IWD""]","[""105-11""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180801sr.pdf_item_0.pdf,major plan amendment,5,South Nashville Community Plan Amendment_2018-08-01,2018-08-01,"Smith Gee Studio, applicant; Metro Government-Fair Grounds, owner",Open Space (OS) and District Impact (DI) to T4 Community Center (T4 CC),"[""301""]",803,Smith Gee Studio,17,Staff recommends approval of the amendment request.,South Nashville Community Plan Amendment,10,,,"300 Rains Avenue, east of the terminus of Benton Avenue","[""300 Rains Avenue""]"
,Request to rezone from R40 to SP for multi-family residential units.,Rosenberg,Defer,Tylor,"[""SP""]",,"[""R40""]",,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/092321_Staff_Report.pdf_item_13.pdf,Preliminary SP,9,Charlotte View West_2021-09-23,2021-09-23,Dale & Associates,,,380,"Dale & Associates, applicant; Robert B. Beck, ET UX, owner.",35,"Defer to the October 14, 2021, Planning Commission meeting.",Charlotte View West,1,57,,"at the corner of Charlotte Pike and Old Charlotte Pike, 1 acre","[""Charlotte Pike"",""Old Charlotte Pike""]"
Southeast Community Plan,The application proposes to change the zoning from R8 to RM20-A for higher density residential development along Paragon Mills Road.,Elrod,Conditional,Pinkston,"[""RM20-A""]","[""T3 NE""]","[""R8""]","[""133-15""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/181025sr.pdf_item_13.pdf,zone change,7,Zone change 2018Z-102PR-001_2018-10-25,2018-10-25,Dewey Engineering,Southeast Community Plan Amendment,"[""126""]",966,"Dewey Engineering, applicant; Samir Investments, owner",26,"Approve subject to approval of the associated plan amendment. If the associated plan amendment is not approved, staff recommends disapproval.",Zone change 2018Z-102PR-001,2.05,41,13,"The proposed Multi-Family Residential - Alternative zoning (RM20-A) is for property located at 522 Paragon Mills Road, approximately 530 feet southwest of Valley Ridge Drive, encompassing 2.05 acres.","[""522 Paragon Mills Road""]"
East Nashville Community Plan,A request to amend the 1216 Gallatin Avenue Specific Plan to permit additional uses on Lot 1 and all uses of MUL-A on Lot 2.,S. Davis,Conditional,Buggs,"[""SP-C""]","[""T4 CC""]","[""SP-C""]","[""053-11""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190110sr.pdf_item_24.pdf,preliminary sp,5,1216 Gallatin Avenue SP (Amendment)_2019-01-10,2019-01-10,Gresham Smith & Partners,T4 Urban Community Center,"[""025"",""028""]",1065,"Gresham Smith & Partners, applicant; CK Spacemax Nashville, LLC, owner.",5,Approve with conditions and disapprove without all conditions.,1216 Gallatin Avenue SP (Amendment),4.46,,,"Approximately 4.46 acres on the west side of Gallatin Avenue, approximately 250 feet south of Douglas Avenue","[""1214 Gallatin Avenue"",""1216 Gallatin Avenue""]"
,Amend Belmont University Institutional Overlay to expand the boundary and update activity zones.,Allen,Defer,Pierce,,,"[""RM20"",""RM40"",""CL"",""CN"",""CS"",""OR20"",""R8""]","[""071-01""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180308sr.pdf_item_13.pdf,zone change,8,Institutional Overlay_2018-03-08,2018-03-08,"Councilmember Burkley Allen, applicant; various owners",,"[""048""]",1874,"Councilmember Burkley Allen, applicant; various owners",18,"Staff recommends deferral to the March 22, 2018, Planning Commission meeting at the request of the applicant.",Institutional Overlay,91.76,,,"southwest corner of Wedgewood Avenue and 12th Avenue South, zoned Multi-Family Residential (RM20), Multi-Family Residential (RM40), Commercial Limited (CL), Commercial Neighborhood (CN), Commercial Service (CS), Office/Residential (OR20) and One and Two-Family Residential (R8) (91.76 acres), to expand the Institutional Overlay boundary and update the activity zones","[""Wedgewood Avenue"",""Acklen Avenue"",""Bernard Avenue"",""Compton Avenue"",""Delmar Avenue"",""Ashwood Avenue"",""Caldwell Avenue"",""12th Avenue South"",""14th Avenue South"",""15th Avenue South"",""Magnolia Boulevard"",""Belmont Boulevard""]"
Bordeaux-Whites Creek-Haynes Trinity Community Plan,"A request to amend the Buena Vista Pike SP for an additional 15 multi-family units, increasing the total to 72 units.",Toombs,Conditional,Gentry,"[""SP-MU""]","[""T4 NC"",""T4 NE""]","[""SP-MU"",""R8""]","[""165""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220825sr.pdf_item_12.pdf,SP Amendment,1,0 Buena Vista Pike SP (Amendment)_2022-08-25,2022-08-25,"Catalyst Design Group, LLC","T4 Urban Neighborhood Center (T4 NC), T4 Urban Neighborhood Evolving (T4 NE)","[""030""]",2756,"Catalyst Design Group, LLC",2,Staff recommends approval with conditions and disapproval without all conditions.,0 Buena Vista Pike SP (Amendment),3.34,15,57,"northeast corner of Buena Vista Pike and Cliff Drive, 2222 Buena Vista and 500 B Cliff Circle, approximately 179 feet west of Kirk Avenue, 3.34 acres","[""2222 Buena Vista"",""500 B Cliff Circle"",""Kirk Avenue""]"
North Nashville Community Plan,The proposal is to rezone properties located at 2700 and 2703 Morena Street from RS5 to R6-A to allow development more consistent with high density goals.,Taylor,Approve,Buggs,"[""R6-A""]","[""T4 NE""]","[""RS5""]","[""175""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200213sr.pdf_item_23.pdf,zone change,5,Zone Change 2020Z-021PR-001_2020-02-13,2020-02-13,"Dale and Associates, applicant; Ebenezer Missionary Baptist Church, owner.",T4 Urban Neighborhood Evolving (T4 NE),"[""012"",""129"",""130""]",1698,Dale and Associates,21,Staff recommends approval.,Zone Change 2020Z-021PR-001,0.42,6,3,northwest and southwest corners of Morena Street and 27th Avenue North,"[""2700 Morena Street"",""2703 Morena Street""]"
,Request for final plat approval to create three lots at 407 Landon Drive.,Johnston,Defer,Elrod,"[""RS20""]",,"[""RS20""]","[""080-04""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-211028sr.pdf_item_10.pdf,final plat,2,Resub Of Tract 1 Plan of Brentwood Hall Section 5_2021-10-28,2021-10-28,Southern Precision,,"[""105""]",2322,"Southern Precision, applicant; 407 Landon LLC, owner",26,Staff recommends the item be deferred indefinitely at the request of the applicant.,Resub Of Tract 1 Plan of Brentwood Hall Section 5,2.67,,,"southern corner of Landon Drive and Manley Drive, zoned Single-Family Residential (RS20) (2.67 acres)","[""407 Landon Drive"",""Landon Drive"",""Manley Drive""]"
North Nashville Community Plan,"The application proposes to rezone the property at 2810 Georgia Ave from RS5 to R6-A to allow for higher density infill development, supporting T4 NE policy.",Taylor,Approve,Buggs,"[""R6-A""]","[""T4 NE""]","[""RS5""]","[""092-07"",""092-08""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/082423Staffreport.pdf_item_14.pdf,zone change,5,2023Z-074PR-001_2023-08-24,2023-08-24,Cliffton Property TN LLC,Single-Family Residential (RS5) to One and Two-Family Residential-Alternative (R6-A),"[""381""]",365,Cliffton Property TN LLC,21,Staff recommends approval.,2023Z-074PR-001,0.26,2,2,"Approximately 270 feet west of 28th Ave N, 0.26 acres","[""2810 Georgia Ave""]"
,Request to rezone from R10 to CS at 2364 Gallatin Pike.,Young,Defer,Speering,"[""CS""]",,"[""R10""]","[""072-10""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200723sr.pdf_item_14.pdf,zone change,3,Zone Change 2020Z-082PR-001_2020-07-23,2020-07-23,Dale and Associates,,"[""341""]",1978,"Dale and Associates; Terry Flatt, owner.",10,"Staff recommends deferral to the August 27, 2020, Planning Commission meeting at the request of the applicant.",Zone Change 2020Z-082PR-001,2.93,,,Approximately 750 feet east of Riverchase Boulevard (2.93 acres),"[""2364 Gallatin Pike""]"
Edgefield Historic Preservation District,Applying for Neighborhood Landmark Overlay District to permit a hotel and special events.,Withers,Defer,Buggs,,,"[""R8""]","[""051"",""061"",""061-01-A""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220825sr.pdf_item_4.pdf,neighborhood landmark,5,Neighborhood Landmark 2022NL-001-001_2022-08-25,2022-08-25,Daniels & Chandler Architects,,"[""125"",""183"",""001"",""002"",""900""]",2782,"Daniels & Chandler Architects, applicant; Tulip Street Partners, LLC, owner.",6,Staff recommends indefinite deferral at the request of the applicant.,Neighborhood Landmark 2022NL-001-001,0.51,0,,"Property located at 518 Russell Street, at the corner of Russell Street and S. 6th Street, within the Edgefield Historic Preservation District.","[""518 Russell Street"",""S. 6th Street""]"
,The application requests final plat approval to create 26 lots across 6.2 acres of land with existing zoning.,Hancock,Defer,Masters,"[""OR20"",""RS10""]",,"[""OR20"",""RS10""]","[""043-15""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/06222staffReport.pdf_item_22.pdf,final plat,3,Orchards Phase 3_2023-06-22,2023-06-22,"Wilson & Associates, applicant; Larkin Springs (TN) Owner IV LLC, owner",,"[""135"",""141"",""302""]",295,Wilson & Associates,9,"Staff recommends indefinite deferral, as requested by the applicant.",Orchards Phase 3,6.2,26,,"portions of properties located at 1020 C Old Hickory Boulevard, Old Hickory Boulevard (unnumbered), and New Providence Pass (unnumbered), approximately 270 feet west of Larkin Springs Road, zoned Office/Residential (OR20) and Single-Family Residential (RS10) (6.2 acres)","[""1020 C Old Hickory Boulevard"",""Old Hickory Boulevard"",""New Providence Pass""]"
,Amend subdivision plat to amend the platted setbacks at 715 Ries Avenue.,Roberts,Defer,Frogge,,,"[""R8""]","[""070-05""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190411sr.pdf_item_8.pdf,subdivision plat amendment,9,Mosswood Lot 57 Subdivision Amendment_2019-04-11,2019-04-11,"Dale & Associates, applicant; Edward Michaels, IV, owner",,,1268,"Dale & Associates, applicant; Edward Michaels, IV, owner",20,Staff recommends indefinite deferral at the request of the applicant.,Mosswood Lot 57 Subdivision Amendment,0.21,,,Southwest corner of Laredo Avenue and Ries Avenue,"[""715 Ries Avenue"",""Laredo Avenue"",""Ries Avenue""]"
Green Hills - Midtown Community Plan,Approval for mixed-use development at 2416 West End Avenue including residential and commercial units.,Taylor,Conditional,Buggs,"[""SP-MU""]","[""T5 MU""]","[""CS"",""MUG-A""]","[""086""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/210826sr.pdf_item_18.pdf,preliminary sp,5,2416 W est End Avenue_2021-08-26,2021-08-26,Ragan Smith Associates,T5 Center Mixed Use Neighborhood (T5 MU),"[""276""]",2210,"Ragan Smith Associates, applicant; GTOM West End LLC, J. Haskell Tidman Jr. Et Al, Eric Baurel, Matthew Eads, and Truitt Ellis, owners.",21,Approve with conditions and disapprove without all conditions.,2416 W est End Avenue,0.87,375,,northeast corner of West End Avenue and 25th Avenue South (0.87 acres),"[""2410 West End Avenue"",""2412 West End Avenue"",""2416 West End Avenue"",""Elliston Place""]"
NORTH NASHVILLE COMMUNITY PLAN,The zone change request promotes mixed-use development and residential transitions compatible with the area surrounding Clifton Avenue and 26th Avenue North.,Kindall,Approve,Buggs,"[""MUL-A"",""RM20-A""]","[""T4 NE"",""T4 CM""]","[""RS5"",""IR""]","[""0933""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180927sr.pdf_item_6.pdf,zone change,5,Zone Change 2018Z-073PR-001_2018-09-27,2018-09-27,Catalyst Design Group,"T4 Urban Neighborhood Evolving (T4 NE), T4 Urban Mixed Use Corridor (T4 CM)","[""575"",""576"",""578"",""579"",""580"",""581"",""582"",""583""]",940,"Catalyst Design Group, applicant; Nick Dorol, E3 Construction Services, LLC and Jeffery Hampton, owners",21,Staff recommends approval as the requested MUL-A and RM20-A zoning districts are consistent with the goals of the T4 Urban Mixed Use Corridor and T4 Urban Neighborhood Evolving policies in this location.,Zone Change 2018Z-073PR-001,1.39,17,7,northwest corner of 26th Avenue North and Clifton Avenue (1.39 acres),"[""707 26th Avenue North"",""709 26th Avenue North"",""711 26th Avenue North"",""715 26th Avenue North"",""717 26th Avenue North"",""2600 Clifton Avenue"",""2604 Clifton Avenue"",""2606 Clifton Avenue""]"
,The application proposes to create three lots on approximately 2.83 acres.,Hagar,Defer,Little,"[""RS15"",""RS7.5""]",,"[""RS15"",""RS7.5""]","[""135""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220324sr.pdf_item_15.pdf,final plat,4,Overstreet Subdivision_2022-03-24,2022-03-24,HFR Design,,"[""368""]",2589,"HFR Design, applicant; Tommy & Flora Ann Overstreet, owner",11,"Staff recommends deferral to the April 14, 2022, Planning Commission meeting.",Overstreet Subdivision,2.83,3,,"Property located at Park Circle (unnumbered), approximately 115 feet southeast of Becker Avenue, zoned Single-Family Residential (RS15 and RS7.5) (2.83 acres).","[""Park Circle"",""Becker Avenue""]"
Antioch-Priest Lake Community Plan,"Zone change request from AR2a to RS10 for a property at 3631 Pin Hook Road, Southwest corner of Pin Hook Road and Hobson Pike (24.03 acres) to enhance suburban residential development.",Lee,Approve,Bush,"[""RS10""]","[""T3 NE""]","[""AR2a""]","[""105-16""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190523sr.pdf_item_28.pdf,Zone Change,6,2019Z-085PR-001_2019-05-23,2019-05-23,Dale and Associates,T3 Suburban Neighborhood Evolving,"[""271"",""272"",""273"",""274""]",1378,"Dale and Associates, applicant; Timothy and Stephanie Rogers, owners.",33,Staff recommends approval as the request is consistent with the T3 Suburban Neighborhood Evolving policy of the Antioch-Priest Lake Community Plan.,2019Z-085PR-001,24.03,88,24,"Located at the southwest corner of Pin Hook Road and Hobson Pike, 24.03 acres","[""3631 Pin Hook Road""]"
,The request seeks to permit 25 multi-family residential units by rezoning from One and Two-Family Residential – Alternative (R6-A) to Specific Plan - Residential (SP-R).,O’Connell,Defer,Gentry,"[""SP-R""]",,"[""R6-A""]","[""071-11""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190124sr.pdf_item_22.pdf,preliminary sp,1,3rd Avenue North SP_2019-01-24,2019-01-24,Dale and Associates,,"[""489""]",1106,"Dale and Associates, applicant; TAB Homebuilders, LLC., owner",19,"Staff recommends deferral to the February 14, 2019, Planning Commission meeting at the request of the applicant.",3rd Avenue North SP,1.18,25,,"Southeast corner of Coffee Street and 3rd Avenue North, 1.18 acres","[""1825 3rd Avenue North"",""1827 3rd Avenue North"",""1829 3rd Avenue North"",""1831 3rd Avenue North"",""1833 3rd Avenue North"",""1835 3rd Avenue North""]"
East Nashville Community Plan,The proposal allows the development of up to 13 multi-family residential units at northeast corner of Lischey Avenue and Marshall Street with improved pedestrian infrastructure.,Davis,Conditional,Buggs,"[""SP-R""]","[""T4 NE""]","[""RS5""]","[""082-12""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180111sr.pdf_item_2.pdf,preliminary sp,5,Marshall Crossing SP_2018-01-11,2018-01-11,Smith Gee Studio,Urban Neighborhood Evolving,"[""187""]",551,Smith Gee Studio,5,Approve with conditions and disapprove without all conditions.,Marshall Crossing SP,0.87,13,7,northeast corner of Lischey Avenue and Marshall Street,"[""1699 Lischey Avenue"",""1701 Lischey Avenue"",""1703 Lischey Avenue"",""1705 Lischey Avenue""]"
,Amend previously approved SP to permit 160 multi-family units.,Rosenberg,Defer,Tylor,"[""SP-R""]",,"[""SP-R""]","[""092-06""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-21111821sr.pdf_item_3.pdf,preliminary sp,9,Sage Run (Amendment)_2021-11-18,2021-11-18,"Dale and Associates, applicant; Sage Run Development, LLC, owners",,"[""559"",""560"",""561"",""562""]",2381,"Dale and Associates, applicant; Sage Run Development, LLC, owners",35,"Staff recommends deferral of the item to the December 9, 2021, Planning Commission meeting at the request of the applicant",Sage Run (Amendment),16.47,160,,"Properties located at 5754 River Road and River Road (unnumbered), approximately 750 feet west of Charlotte Pike, zoned Specific Plan – Residential (SP-R) (16.47 acres)","[""5754 River Road"",""River Road"",""Charlotte Pike""]"
,Deferral of final plat to create three lots at 1003 Neely’s Bend.,Pridemore,Defer,Speering,,,,"[""071-07"",""071-11""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190523sr.pdf_item_8.pdf,final plat,3,"Lots 1, 2, & 3 at 1003 Neely’s Bend_2019-05-23",2019-05-23,"JTA Land Surveying, Inc., applicant; Colin Ellis, owner",,"[""188"",""189"",""032"",""033"",""034""]",1388,"JTA Land Surveying, Inc.",9,"Staff recommends deferral to the June 13, 2019, Planning Commission meeting at the request of the applicant.","Lots 1, 2, & 3 at 1003 Neely’s Bend",1.24,3,,approximately 90 feet southeast of Center Street (1.24 acres),"[""1003 Neely’s Bend Road""]"
Bordeaux-Whites Creek Community Plan,The request is to approve a final plat to shift a lot line for properties on Clarksville Highway.,Cooper,Conditional,Gentry,"[""RS15""]","[""T2 RM"",""CO""]","[""RS15""]","[""176-00""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180208sr.pdf_item_5.pdf,final plat,1,Dry Fork Creek Subdivision Resub of Lot 4_2018-02-08,2018-02-08,Clint T. Elliott Surveying,"T2 Rural Maintenance, Conservation","[""176018"",""176020"",""176021""]",608,Clint T. Elliott Surveying,1,"Approve with conditions, including variances to the Rural Subdivision Regulations.",Dry Fork Creek Subdivision Resub of Lot 4,2.36,,,180 feet southeast of Lloyd Road,"[""4881 Clarksville Highway"",""4891 Clarksville Highway""]"
Green Hills - Midtown Community Plan,Zone change from OR20 to MUL-A at 4107 Hillsboro Circle to permit mixed-use development.,Ewing,Approve,O Hara Block,"[""MUL-A""]","[""T5 RG"",""CO""]","[""OR20""]","[""131""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/032824StaffReport.pdf_item_15.pdf,zone change,8,2024Z-025PR-001_2024-03-28,2024-03-28,A&P Williams LLC,T5 Regional Center (T5 RG),"[""010""]",1332,"A&P Williams LLC, applicant and owner",34,Staff recommends approval,2024Z-025PR-001,0.17,4,3,"150 feet southwest of Hillsboro Drive, located within the Green Hills Urban Design Overlay (0.17 acres)","[""4107 Hillsboro Circle""]"
No specific community plan mentioned,"Amend an existing SP by modifying the site plan to increase building height, number of stories, and hotel rooms.",Syracuse,Conditional,Shepard,"[""SP-C""]","[""D EC""]","[""SP-C""]","[""2016SP-012""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/191114sr.pdf_item_9.pdf,SP Amendment,4,Vib At The Preserve (Amendment)_2019-11-14,2019-11-14,"Barge Cauthen and Associates, applicant; Corporate Investors Partnership, owner",District Employment Center (D EC),"[""002""]",1617,Barge Cauthen and Associates,15,Approve with conditions and disapprove without all conditions.,Vib At The Preserve (Amendment),3.42,114,81,"921 Perimeter Court, approximately 830 feet southeast of Perimeter Place Drive","[""921 Perimeter Court"",""Perimeter Place Drive""]"
Subdivision Regulations,"The request is to create three residential lots at 1003 Neely's Bend Road. Staff recommends deferral until June 27, 2019, pending approval from all reviewing agencies.",Pridemore,Defer,Speering,,"[""CO"",""T3 NE""]","[""RS10""]","[""119-16""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190613sr.pdf_item_6.pdf,final plat,3,"Lots 1, 2, & 3 at 1003 Neely's Bend_2019-06-13",2019-06-13,"JTA Land Surveying, Inc.; Colin Ellis, owner",Conservation (CO) and T3 Suburban Neighborhood Evolving (T3 NE),"[""053""]",1436,"JTA Land Surveying, Inc.",9,"Defer to the June 27, 2019 Planning Commission meeting unless a recommendation of approval is received from all reviewing agencies. If a recommendation of approval is received from all agencies, staff recommends approval.","Lots 1, 2, & 3 at 1003 Neely's Bend",1.24,3,1,"Located at 1003 Neely's Bend Road, approximately 90 feet southeast of Center Street","[""1003 Neely's Bend Road""]"
Donelson – Hermitage – Old Hickory Community Plan,Proposal to convert an existing 108-room hotel into 112 studio/efficiency multi-family units on a 3.11-acre site.,Evans,Conditional,Little,"[""SP""]","[""T3 CC""]","[""CS""]","[""086""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220210sr.pdf_item_23.pdf,preliminary sp,4,3887 Central Pike SP_2022-02-10,2022-02-10,"Fulmer Lucas Engineering, applicant; Jai Ganesha, LLC, owner",T3 Suburban Community Center (T3 CC),"[""215""]",2503,Fulmer Lucas Engineering,12,Approve with conditions and disapprove without all conditions,3887 Central Pike SP,3.11,112,108,approximately 175 feet west of Central Court within a Planned Unit Development Overlay District (3.11 acres),"[""3887 Central Pike""]"
Bordeaux-Whites Creek-Haynes Trinity Community Plan,The application proposes to rezone the property from RS10 to R10. The R10 zoning district is supported by the T3 NE policy and increases housing choice and density.,Kimbrough,Approve,Gentry,"[""R10""]","[""T3 NE""]","[""RS10""]",,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/110923StaffReport.pdf_item_16.pdf,zone change,1,Unknown_2023-11-09,2023-11-09,"Maxim Homes, LLC; Alejandro Hernandez and Nancy Rivera",Suburban Neighborhood Evolving (T3 NE),,502,"Maxim Homes, LLC; Alejandro Hernandez and Nancy Rivera",1,Staff recommends approval.,Unknown,0.37,2,1,"approximately 270 feet southwest of John Mallette Drive and Elizabeth Road, 0.37 acres","[""1815 Elizabeth Road""]"
Green Hills - Midtown Community Plan,"The project involves rezoning to accommodate a multifamily residential development consistent with the T4 Urban Neighborhood Evolving policy, enhancing the 12th Avenue South corridor.",Sledge,Conditional,Buggs,"[""RM20-A""]","[""T4 NE""]","[""R6""]","[""105-02""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180308sr.pdf_item_7.pdf,zone change,5,Zone Change 2017Z-122PR-001_2018-03-08,2018-03-08,"T and T Development, LLC and Troy Olsen",T4 Urban Neighborhood Evolving (T4 NE),"[""121""]",645,"T and T Development, LLC",17,Staff recommends approval with conditions. The recommended RM20-A zoning permits multifamily residential development and is consistent with the policy goals for the area.,Zone Change 2017Z-122PR-001,0.62,12,6,approximately 205 feet north of Archer Street,"[""1088 12th Avenue South"",""1090 12th Avenue South"",""1092 12th Avenue South""]"
GREEN HILLS – MIDTOWN COMMUNITY PLAN,The proposed RM20-A zoning district will generate three additional students beyond what would be generated under the existing R6 zoning.,Sledge,Conditional,Buggs,"[""RM20-A""]","[""T4 NE""]","[""R6""]","[""034-06""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180322sr.pdf_item_11.pdf,zone change,5,Zone Change 2017Z-122PR-001_2018-03-22,2018-03-22,"T and T Development, LLC, applicant; T and T Development, LLC and Troy Olsen, owners",T4 Urban Neighborhood Evolving (T4 NE),"[""003""]",651,"T and T Development, LLC, applicant; T and T Development, LLC and Troy Olsen, owners",17,Staff recommends approval with a condition as the request is consistent with the T4 Urban Neighborhood Evolving policy in this location.,Zone Change 2017Z-122PR-001,0.62,12,5,"1088, 1090, and 1092 12th Avenue South, approximately 205 feet north of Archer Street (0.62 acres)","[""1088 12th Avenue South"",""1090 12th Avenue South"",""1092 12th Avenue South""]"
South Nashville Community Plan,Zone change from R6 to MUL-A for mixed use development in South Nashville community.,Sledge,Conditional,Pinkston,"[""MUL-A""]","[""T4 MU""]","[""R6""]","[""051-04""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180322sr.pdf_item_21.pdf,Zone Change,7,2018Z-024PR-001_2018-03-22,2018-03-22,"Kurio Properties, Inc., applicant; Adam S. & Jamie Gatchel and Kurio Properties, Inc. owners.",T4 Mixed Use Neighborhood,"[""043"",""046""]",662,"Kurio Properties, Inc., applicant; Adam S. & Jamie Gatchel and Kurio Properties, Inc. owners.",17,Staff recommends approval with conditions as the request is consistent with the T4 Mixed Use Neighborhood policy.,2018Z-024PR-001,1.03,22,9,approximately 260 feet west of Sadler Avenue (1.03 acres),"[""353 Glenrose Avenue"",""355 Glenrose Avenue"",""357 Glenrose Avenue"",""354 Hester Avenue""]"
